Datetime,Open,High,Low,Close,Volume
2026-09-03 00:00:00+00:00,2390.800048828125,2394.419921875,2390.090087890625,2393.179931640625,0
2026-09-03 00:05:00+00:00,2393.18994140625,2393.2099609375,2387.0400390625,2388.3701171875,0
2026-09-03 00:10:00+00:00,2388.320068359375,2389.9599609375,2386.68994140625,2386.68994140625,0
2026-09-03 00:15:00+00:00,2386.659912109375,2386.699951171875,2384.010009765625,2385.590087890625,216027136
2026-09-03 00:20:00+00:00,2385.639892578125,2385.639892578125,2382.2099609375,2384.530029296875,13137920
2026-09-03 00:25:00+00:00,2384.5,2384.5,2379.77001953125,2380.110107421875,0
2026-09-03 00:30:00+00:00,2380.10009765625,2380.969970703125,2378.389892578125,2379.840087890625,121804800
2026-09-03 00:35:00+00:00,2379.89990234375,2384.3798828125,2378.590087890625,2383.3701171875,0
2026-09-03 00:40:00+00:00,2383.199951171875,2384.7900390625,2382.1201171875,2382.77001953125,83513344
2026-09-03 00:45:00+00:00,2383.02001953125,2383.85009765625,2381.5,2381.6201171875,0
2026-09-03 00:50:00+00:00,2381.719970703125,2382.570068359375,2379.659912109375,2380.949951171875,77209600
2026-09-03 00:55:00+00:00,2380.949951171875,2382.0,2378.60009765625,2379.10009765625,0
2026-09-03 01:00:00+00:00,2378.35009765625,2379.969970703125,2369.97998046875,2375.300048828125,0
2026-09-03 01:05:00+00:00,2377.35009765625,2386.93994140625,2377.35009765625,2384.0,0
2026-09-03 01:10:00+00:00,2384.949951171875,2390.31005859375,2383.409912109375,2389.77001953125,0
2026-09-03 01:15:00+00:00,2388.780029296875,2389.300048828125,2385.85009765625,2385.85009765625,49984512
2026-09-03 01:20:00+00:00,2385.610107421875,2390.5400390625,2385.610107421875,2388.889892578125,328599552
2026-09-03 01:25:00+00:00,2388.080078125,2391.669921875,2387.93994140625,2391.669921875,0
2026-09-03 01:30:00+00:00,2391.31005859375,2392.9599609375,2390.0,2392.52001953125,12682240
2026-09-03 01:35:00+00:00,2392.719970703125,2392.719970703125,2386.489990234375,2390.030029296875,92754944
2026-09-03 01:40:00+00:00,2390.739990234375,2392.85009765625,2388.1201171875,2388.320068359375,0
2026-09-03 01:45:00+00:00,2387.72998046875,2388.159912109375,2384.800048828125,2385.300048828125,0
2026-09-03 01:50:00+00:00,2385.139892578125,2390.3701171875,2383.68994140625,2387.800048828125,0
2026-09-03 01:55:00+00:00,2387.8798828125,2389.800048828125,2385.610107421875,2385.7099609375,0
2026-09-03 02:00:00+00:00,2385.800048828125,2386.5400390625,2383.199951171875,2383.199951171875,0
2026-09-03 02:05:00+00:00,2382.75,2386.56005859375,2381.81005859375,2383.199951171875,0
2026-09-03 02:10:00+00:00,2383.60009765625,2390.159912109375,2383.60009765625,2390.1298828125,61349888
2026-09-03 02:15:00+00:00,2390.159912109375,2390.159912109375,2388.06005859375,2388.570068359375,0
2026-09-03 02:20:00+00:00,2388.469970703125,2392.8798828125,2388.18994140625,2391.179931640625,0
2026-09-03 02:25:00+00:00,2391.239990234375,2395.77001953125,2390.530029296875,2394.830078125,0
2026-09-03 02:30:00+00:00,2395.239990234375,2406.35009765625,2393.3701171875,2405.68994140625,0
2026-09-03 02:35:00+00:00,2403.639892578125,2405.929931640625,2399.260009765625,2401.0,41098240
2026-09-03 02:40:00+00:00,2400.75,2405.25,2400.60009765625,2404.469970703125,153023488
2026-09-03 02:45:00+00:00,2403.429931640625,2406.389892578125,2402.0,2405.820068359375,10967040
2026-09-03 02:50:00+00:00,2405.510009765625,2408.7900390625,2404.3798828125,2406.0,0
2026-09-03 02:55:00+00:00,2405.780029296875,2406.659912109375,2404.06005859375,2404.949951171875,103836672
2026-09-03 03:00:00+00:00,2405.3798828125,2405.3798828125,2402.81005859375,2402.81005859375,0
2026-09-03 03:05:00+00:00,2402.639892578125,2404.0400390625,2402.409912109375,2403.3798828125,0
2026-09-03 03:10:00+00:00,2403.469970703125,2407.840087890625,2402.090087890625,2406.889892578125,372056064
2026-09-03 03:15:00+00:00,2406.840087890625,2409.77001953125,2404.080078125,2409.760009765625,0
2026-09-03 03:20:00+00:00,2408.77001953125,2409.199951171875,2403.02001953125,2403.260009765625,0
2026-09-03 03:25:00+00:00,2403.3701171875,2405.18994140625,2402.8798828125,2402.8798828125,8793088
2026-09-03 03:30:00+00:00,2402.89990234375,2404.739990234375,2401.43994140625,2401.56005859375,0
2026-09-03 03:35:00+00:00,2401.449951171875,2401.449951171875,2399.8701171875,2400.1298828125,0
2026-09-03 03:40:00+00:00,2399.93994140625,2400.52001953125,2398.8701171875,2399.469970703125,19571712
