Datetime,Open,High,Low,Close,Volume
2026-09-03 00:00:00+00:00,77302.84375,77363.3125,77284.78125,77325.0234375,0
2026-09-03 00:05:00+00:00,77326.5625,77347.5625,77148.21875,77171.2578125,0
2026-09-03 00:10:00+00:00,77172.109375,77223.796875,77134.9765625,77134.9765625,0
2026-09-03 00:15:00+00:00,77134.9921875,77134.9921875,77069.1796875,77107.046875,101453824
2026-09-03 00:20:00+00:00,77107.046875,77107.046875,77037.8984375,77087.640625,42962944
2026-09-03 00:25:00+00:00,77086.09375,77086.09375,77003.171875,77010.078125,314744832
2026-09-03 00:30:00+00:00,77006.2421875,77035.4921875,76979.0078125,76979.0078125,0
2026-09-03 00:35:00+00:00,76977.03125,77083.203125,76955.75,77064.0,0
2026-09-03 00:40:00+00:00,77063.65625,77104.2109375,77047.203125,77070.4921875,152455168
2026-09-03 00:45:00+00:00,77084.5703125,77114.6875,77041.671875,77051.359375,0
2026-09-03 00:50:00+00:00,77050.0078125,77089.96875,77026.546875,77050.9296875,40843264
2026-09-03 00:55:00+00:00,77052.4765625,77105.3125,77005.828125,77027.84375,0
2026-09-03 01:00:00+00:00,77035.1015625,77118.90625,76937.859375,77078.890625,303290368
2026-09-03 01:05:00+00:00,77109.109375,77283.9296875,77109.109375,77236.3984375,0
2026-09-03 01:10:00+00:00,77236.171875,77404.796875,77217.9921875,77390.0,99102720
2026-09-03 01:15:00+00:00,77378.34375,77378.34375,77285.0,77285.0,96481280
2026-09-03 01:20:00+00:00,77266.8984375,77407.546875,77257.03125,77353.953125,9605120
2026-09-03 01:25:00+00:00,77350.953125,77400.6875,77312.421875,77400.6875,0
2026-09-03 01:30:00+00:00,77431.84375,77491.96875,77370.7578125,77491.96875,81801216
2026-09-03 01:35:00+00:00,77512.4921875,77512.4921875,77289.5,77420.953125,421593088
2026-09-03 01:40:00+00:00,77424.2109375,77451.1875,77307.359375,77307.3671875,88543232
2026-09-03 01:45:00+00:00,77310.890625,77322.859375,77284.2734375,77294.296875,0
2026-09-03 01:50:00+00:00,77294.296875,77435.25,77256.6796875,77385.0,0
2026-09-03 01:55:00+00:00,77359.4375,77417.90625,77323.5234375,77323.5234375,0
2026-09-03 02:00:00+00:00,77319.71875,77343.0,77255.171875,77258.9765625,0
2026-09-03 02:05:00+00:00,77258.9765625,77303.2265625,77200.8203125,77229.0625,744960000
2026-09-03 02:10:00+00:00,77260.4921875,77458.46875,77260.4921875,77458.46875,0
2026-09-03 02:15:00+00:00,77458.4609375,77462.7734375,77410.671875,77416.9765625,0
2026-09-03 02:20:00+00:00,77400.3515625,77536.0625,77399.9375,77489.8828125,17543168
2026-09-03 02:25:00+00:00,77489.8828125,77586.8515625,77451.3828125,77569.75,0
2026-09-03 02:30:00+00:00,77565.7578125,77858.7265625,77531.9921875,77858.7265625,32993280
2026-09-03 02:35:00+00:00,77842.5078125,77877.1875,77677.65625,77709.796875,183687168
2026-09-03 02:40:00+00:00,77712.7265625,77824.5390625,77710.4921875,77756.0625,126904320
